Date,Open,High,Low,Close,Adj Close,Volume
25-11-19,15.475,15.69,15.46,15.57,15.329091,2210533
26-11-19,15.55,15.625,15.29,15.29,15.053424,3568321
27-11-19,15.3,15.38,15.235,15.25,15.014043,1540851
28-11-19,15.16,15.24,15.065,15.125,14.890977,1791673
29-11-19,15.1,15.235,14.975,14.98,14.74822,1795069
02-12-19,14.98,15.125,14.755,14.78,14.551315,2918100
03-12-19,14.845,14.98,14.66,14.77,14.541471,2273638
04-12-19,14.81,14.96,14.61,14.675,14.44794,2538939
05-12-19,14.685,14.78,14.575,14.62,14.39379,2839164
06-12-19,14.68,15.095,14.68,15.06,14.826983,3589635
09-12-19,15.04,15.145,14.99,15.02,14.787602,1896004
10-12-19,14.99,15.035,14.795,15,14.767911,2074346
11-12-19,15.07,15.14,14.86,14.96,14.72853,1612380
12-12-19,14.915,14.97,14.7,14.785,14.556237,2721390
13-12-19,14.89,15.165,14.86,14.915,14.684226,3228639
16-12-19,14.985,15.21,14.96,15.11,14.876209,2943331
17-12-19,15.115,15.14,14.915,15.015,14.78268,2535568
18-12-19,15,15.095,14.935,15.03,14.797446,1958287
19-12-19,15.005,15.095,14.97,15.07,14.836827,1280144
20-12-19,15.04,15.135,14.98,15.13,14.8959,3782273
23-12-19,15.055,15.18,15.035,15.12,14.886054,1204138
24-12-19,15.105,15.21,15.09,15.1,14.866364,388063
25-12-19,15.1,15.1,15.1,15.1,14.866364,0
27-12-19,15.17,15.285,15.16,15.245,15.00912,1627378
30-12-19,15.22,15.28,15.1,15.13,14.8959,1031386
31-12-19,15.13,15.13,14.945,14.95,14.718684,770582
02-01-20,15.06,15.095,14.915,14.97,14.738376,1699929
03-01-20,14.925,15.03,14.855,15.03,14.797446,1873407
06-01-20,14.9,15.03,14.685,15.03,14.797446,2739324
07-01-20,15.07,15.41,15.045,15.15,14.91559,3288192
08-01-20,15.15,15.33,15.01,15.17,14.935281,2555966
09-01-20,15.29,15.42,15.175,15.185,14.950049,1686680
10-01-20,15.21,15.24,14.935,15.015,14.78268,1968471
13-01-20,15.02,15.09,14.875,15.05,14.817138,1845920
14-01-20,15.01,15.105,14.925,15.1,14.866364,2120533
15-01-20,15.1,15.145,14.845,15.025,14.792524,2618304
16-01-20,15.03,15.075,14.82,14.835,14.605464,2144835
17-01-20,14.58,14.97,14.425,14.75,14.521779,3903156
20-01-20,14.77,14.805,14.595,14.75,14.521779,1349923
21-01-20,14.75,14.84,14.6,14.755,14.526702,1735815
22-01-20,14.805,14.89,14.455,14.455,14.231343,3184021
23-01-20,14.535,14.75,14.48,14.62,14.39379,2962925
24-01-20,15.22,15.545,15.1,15.29,15.053424,7687608
27-01-20,15.165,15.465,15.03,15.22,14.984508,4159110
28-01-20,15.285,15.735,15.15,15.675,15.432467,3645812
29-01-20,15.72,15.75,15.465,15.565,15.324169,1982517
30-01-20,15.48,15.565,15.33,15.555,15.314324,1926014
31-01-20,15.595,15.635,15.305,15.305,15.068192,2372318
03-02-20,15.355,15.395,15.23,15.23,14.994352,2244236
